date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:33:45	5526/5526	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Nov%202018%2010:33:45%20GMT	http://vongtaygotram.fastbuy.biz/robots.txt		(from )
17:33:45	24122/24122	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Nov%202018%2010:33:45%20GMT	http://vongtaygotram.fastbuy.biz/?click_id=5bdecabaf0f79800414e4943&aff_sub1=&aff_sub2=&aff_sub3=&aff_sub4=&fb_pixel_id=2202797166660120&opid=glJJNeHk8chpDWnvVjZc-N7fVQYAysQD8NESuYEAaDs	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/indexa32b.html	(from )
17:33:46	1252/1252	---M--	200	added ('OK')	image/png	etag:%22a9f6d965f921abc06e9bd1a6fe2c4e4d%22	https://d1qgok7w0wzph.cloudfront.net/vongtay-gosua/vongtay-gosua-2/favicon.png	D:/CPO/vong-tram/main/1/d1qgok7w0wzph.cloudfront.net/vongtay-gosua/vongtay-gosua-2/favicon.png	(from http://vongtaygotram.fastbuy.biz/?click_id=5bdecabaf0f79800414e4943&aff_sub1=&aff_sub2=&aff_sub3=&aff_sub4=&fb_pixel_id=2202797166660120&opid=glJJNeHk8chpDWnvVjZc-N7fVQYAysQD8NESuYEAaDs)
17:33:46	121260/121260	---MCZ	200	added ('OK')	text/css	etag:W/%225bc62a38-1d9ac%22	http://vongtaygotram.fastbuy.biz/assets/css/bootstrap.min.css	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/css/bootstrap.min.css	(from http://vongtaygotram.fastbuy.biz/?click_id=5bdecabaf0f79800414e4943&aff_sub1=&aff_sub2=&aff_sub3=&aff_sub4=&fb_pixel_id=2202797166660120&opid=glJJNeHk8chpDWnvVjZc-N7fVQYAysQD8NESuYEAaDs)
17:33:46	24848/24848	---MCZ	200	added ('OK')	text/css	etag:W/%225bc62a38-6110%22	http://vongtaygotram.fastbuy.biz/assets/css/styles.css?ver=3	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/css/styles592e.css	(from http://vongtaygotram.fastbuy.biz/?click_id=5bdecabaf0f79800414e4943&aff_sub1=&aff_sub2=&aff_sub3=&aff_sub4=&fb_pixel_id=2202797166660120&opid=glJJNeHk8chpDWnvVjZc-N7fVQYAysQD8NESuYEAaDs)
17:33:46	57095/57095	---MCZ	200	added ('OK')	text/css	etag:W/%225bc62a38-df07%22	http://vongtaygotram.fastbuy.biz/assets/css/animate.css	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/css/animate.css	(from http://vongtaygotram.fastbuy.biz/?click_id=5bdecabaf0f79800414e4943&aff_sub1=&aff_sub2=&aff_sub3=&aff_sub4=&fb_pixel_id=2202797166660120&opid=glJJNeHk8chpDWnvVjZc-N7fVQYAysQD8NESuYEAaDs)
17:33:47	9845/9845	---MCZ	200	added ('OK')	text/css	etag:W/%225bc62a38-2675%22	http://vongtaygotram.fastbuy.biz/assets/css/flipclock.css	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/css/flipclock.css	(from http://vongtaygotram.fastbuy.biz/?click_id=5bdecabaf0f79800414e4943&aff_sub1=&aff_sub2=&aff_sub3=&aff_sub4=&fb_pixel_id=2202797166660120&opid=glJJNeHk8chpDWnvVjZc-N7fVQYAysQD8NESuYEAaDs)
17:33:47	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2004%20Nov%202018%2010:33:48%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/CPO/vong-tram/main/1/www.googletagmanager.com/gtm.55445.delayed	(from http://vongtaygotram.fastbuy.biz/?click_id=5bdecabaf0f79800414e4943&aff_sub1=&aff_sub2=&aff_sub3=&aff_sub4=&fb_pixel_id=2202797166660120&opid=glJJNeHk8chpDWnvVjZc-N7fVQYAysQD8NESuYEAaDs)
17:33:48	15710/15710	---M--	200	added ('OK')	image/png	etag:%225bc62a38-3d5e%22	http://vongtaygotram.fastbuy.biz/assets/img/logo.png	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/img/logo.png	(from http://vongtaygotram.fastbuy.biz/?click_id=5bdecabaf0f79800414e4943&aff_sub1=&aff_sub2=&aff_sub3=&aff_sub4=&fb_pixel_id=2202797166660120&opid=glJJNeHk8chpDWnvVjZc-N7fVQYAysQD8NESuYEAaDs)
17:33:48	3225/3225	---M--	200	added ('OK')	image/png	etag:%225bc62a38-c99%22	http://vongtaygotram.fastbuy.biz/assets/img/item1.png	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/img/item1.png	(from http://vongtaygotram.fastbuy.biz/?click_id=5bdecabaf0f79800414e4943&aff_sub1=&aff_sub2=&aff_sub3=&aff_sub4=&fb_pixel_id=2202797166660120&opid=glJJNeHk8chpDWnvVjZc-N7fVQYAysQD8NESuYEAaDs)
